"商品编码"	,"商品名称"	,"年份"	,"第一计量单位编码"	,"第一计量单位名称"	,"第二计量单位编码"	,"第二计量单位名称"	,
01051410	,"改良种用鹅,重量≤185克"	,2022	,09	,"千克"	,01	,"只"	,
01051490	,"其他鹅,改良种用除外,重量≤185克"	,2022	,09	,"千克"	,01	,"只"	,
01051510	,"改良种用珍珠鸡,重量≤185克"	,2022	,09	,"千克"	,01	,"只"	,
01051590	,"其他珍珠鸡,改良种用除外,重量≤185克"	,2022	,09	,"千克"	,01	,"只"	,
01059410	,"改良种用鸡，重量＞185g"	,2022	,09	,"千克"	,01	,"只"	,
01059490	,"其他鸡，改良种用除外，重量＞185g"	,2022	,09	,"千克"	,01	,"只"	,
01059910	,"改良种用鸭、鹅、火鸡及珍珠鸡，重量＞185g"	,2022	,09	,"千克"	,01	,"只"	,
01059991	,"其他鸭，改良种用除外，重量＞185g"	,2022	,09	,"千克"	,01	,"只"	,
01059992	,"其他鹅，改良种用除外，重量＞185g"	,2022	,09	,"千克"	,01	,"只"	,
01059993	,"其他珍珠鸡，改良种用除外，重量＞185g"	,2022	,09	,"千克"	,01	,"只"	,
01059994	,"其他火鸡，改良种用除外，重量＞185g"	,2022	,09	,"千克"	,01	,"只"	,
01061110	,"改良种用灵长目动物"	,2022	,09	,"千克"	,01	,"只"	,
01061190	,"其他灵长目动物，改良种用除外"	,2022	,09	,"千克"	,01	,"只"	,
01061211	,"改良种用鲸、海豚及鼠海豚；改良种用海牛及儒艮"	,2022	,09	,"千克"	,01	,"只"	,
01061219	,"其他鲸、海豚及鼠海豚、海牛及儒艮，改良种用除外"	,2022	,09	,"千克"	,01	,"只"	,
01061221	,"改良种用海豹、海狮及海象"	,2022	,09	,"千克"	,01	,"只"	,
01061229	,"其他海豹、海狮及海象，改良种用除外"	,2022	,09	,"千克"	,01	,"只"	,
01061310	,"改良种用骆驼及其他骆驼科动物"	,2022	,09	,"千克"	,01	,"只"	,
01061390	,"其他骆驼及其他骆驼科动物,改良种用除外"	,2022	,09	,"千克"	,01	,"只"	,
01061410	,"改良种用家兔及野兔"	,2022	,09	,"千克"	,01	,"只"	,
01061490	,"其他家兔及野兔,改良种用除外"	,2022	,09	,"千克"	,01	,"只"	,
01061910	,"其他改良种用哺乳动物"	,2022	,09	,"千克"	,01	,"只"	,
01061990	,"未列名哺乳动物,改良种用除外"	,2022	,09	,"千克"	,01	,"只"	,
01062011	,"改良种用鳄鱼苗"	,2022	,09	,"千克"	,01	,"只"	,
01062019	,"其他改良种用爬行动物"	,2022	,09	,"千克"	,01	,"只"	,
01062020	,"食用爬行动物"	,2022	,09	,"千克"	,01	,"只"	,
01062090	,"未列名爬行动物"	,2022	,09	,"千克"	,01	,"只"	,
01063110	,"改良种用猛禽"	,2022	,09	,"千克"	,01	,"只"	,
01063190	,"其他猛禽，改良种用除外"	,2022	,09	,"千克"	,01	,"只"	,
01063210	,"改良种用鹦形目鸟"	,2022	,09	,"千克"	,01	,"只"	,
01063290	,"其他鹦形目鸟，改良种用除外"	,2022	,09	,"千克"	,01	,"只"	,
01063310	,"改良种用鸵鸟、鸸鹋"	,2022	,09	,"千克"	,01	,"只"	,
01063390	,"其他鸵鸟、鸸鹋,改良种用除外"	,2022	,09	,"千克"	,01	,"只"	,
01063910	,"其他改良种用鸟"	,2022	,09	,"千克"	,01	,"只"	,
01063921	,"食用乳鸽"	,2022	,09	,"千克"	,01	,"只"	,
01063923	,"食用野鸭"	,2022	,09	,"千克"	,01	,"只"	,
01063929	,"其他食用鸟"	,2022	,09	,"千克"	,01	,"只"	,
01063990	,"未列名鸟"	,2022	,09	,"千克"	,01	,"只"	,
01064110	,"改良种用蜂"	,2022	,09	,"千克"	,01	,"只"	,
01064190	,"其他蜂,改良种用除外"	,2022	,09	,"千克"	,01	,"只"	,
01064910	,"改良种用昆虫"	,2022	,09	,"千克"	,01	,"只"	,
01064990	,"其他昆虫,改良种用除外"	,2022	,09	,"千克"	,01	,"只"	,
01069011	,"改良种用蛙苗"	,2022	,09	,"千克"	,01	,"只"	,
01069019	,"其他改良种用活动物"	,2022	,09	,"千克"	,01	,"只"	,
01069090	,"其他活动物,改良种用除外"	,2022	,09	,"千克"	,01	,"只"	,
02011000	,"鲜或冷的整头及半头牛肉"	,2022	,09	,"千克"	,?	,"?"	,
02012000	,"鲜或冷的带骨牛肉"	,2022	,09	,"千克"	,?	,"?"	,
02013000	,"鲜或冷的去骨牛肉"	,2022	,09	,"千克"	,?	,"?"	,
02021000	,"冻整头及半头牛肉"	,2022	,09	,"千克"	,?	,"?"	,
02022000	,"冻带骨牛肉"	,2022	,09	,"千克"	,?	,"?"	,
02023000	,"冻去骨牛肉"	,2022	,09	,"千克"	,?	,"?"	,
02031110	,"鲜或冷的整头及半头乳猪肉"	,2022	,09	,"千克"	,?	,"?"	,
02031190	,"其他鲜或冷的整头及半头猪肉"	,2022	,09	,"千克"	,?	,"?"	,
02031200	,"鲜或冷的带骨猪前腿、猪后腿及其肉块"	,2022	,09	,"千克"	,?	,"?"	,
02031900	,"其他鲜或冷的猪肉"	,2022	,09	,"千克"	,?	,"?"	,
02032110	,"冻整头及半头乳猪肉"	,2022	,09	,"千克"	,?	,"?"	,
02032190	,"其他冻整头及半头猪肉"	,2022	,09	,"千克"	,?	,"?"	,
02032200	,"冻带骨猪前腿、猪后腿及其肉块"	,2022	,09	,"千克"	,?	,"?"	,
02032900	,"其他冻猪肉"	,2022	,09	,"千克"	,?	,"?"	,
02041000	,"鲜或冷的整头及半头羔羊肉"	,2022	,09	,"千克"	,?	,"?"	,
02042100	,"鲜或冷的整头及半头绵羊肉"	,2022	,09	,"千克"	,?	,"?"	,
02042200	,"鲜或冷的带骨绵羊肉"	,2022	,09	,"千克"	,?	,"?"	,
02042300	,"鲜或冷的去骨绵羊肉"	,2022	,09	,"千克"	,?	,"?"	,
02043000	,"冻整头及半头羔羊肉"	,2022	,09	,"千克"	,?	,"?"	,
02044100	,"冻整头及半头绵羊肉"	,2022	,09	,"千克"	,?	,"?"	,
02044200	,"冻带骨绵羊肉"	,2022	,09	,"千克"	,?	,"?"	,
02044300	,"冻去骨绵羊肉"	,2022	,09	,"千克"	,?	,"?"	,
02045000	,"鲜、冷、冻山羊肉"	,2022	,09	,"千克"	,?	,"?"	,
02050000	,"鲜、冷、冻的马、驴、骡肉"	,2022	,09	,"千克"	,?	,"?"	,
02061000	,"鲜或冷的牛杂碎"	,2022	,09	,"千克"	,?	,"?"	,
02062100	,"冻牛舌"	,2022	,09	,"千克"	,?	,"?"	,
02062200	,"冻牛肝"	,2022	,09	,"千克"	,?	,"?"	,
02062900	,"其他冻牛杂碎"	,2022	,09	,"千克"	,?	,"?"	,
02063000	,"鲜或冷的猪杂碎"	,2022	,09	,"千克"	,?	,"?"	,
02064100	,"冻猪肝"	,2022	,09	,"千克"	,?	,"?"	,
02064900	,"其他冻猪杂碎"	,2022	,09	,"千克"	,?	,"?"	,
02068000	,"其他鲜或冷的杂碎（牛、猪杂碎除外）"	,2022	,09	,"千克"	,?	,"?"	,
02069000	,"其他冻杂碎（牛、猪杂碎除外）"	,2022	,09	,"千克"	,?	,"?"	,
02071100	,"整只鸡，鲜或冷的"	,2022	,09	,"千克"	,?	,"?"	,
02071200	,"整只鸡，冻的"	,2022	,09	,"千克"	,?	,"?"	,
02071311	,"鲜或冷的带骨鸡块"	,2022	,09	,"千克"	,?	,"?"	,
02071319	,"鲜或冷的其他鸡块"	,2022	,09	,"千克"	,?	,"?"	,
02071321	,"鲜或冷的鸡翼（不包括翼尖）"	,2022	,09	,"千克"	,?	,"?"	,
02071329	,"鲜或冷的其他鸡杂碎"	,2022	,09	,"千克"	,?	,"?"	,
02071411	,"带骨的冻鸡块"	,2022	,09	,"千克"	,?	,"?"	,
02071419	,"其他冻鸡块"	,2022	,09	,"千克"	,?	,"?"	,
02071421	,"冻鸡翼（不包括翼尖）"	,2022	,09	,"千克"	,?	,"?"	,
02071422	,"冻鸡爪"	,2022	,09	,"千克"	,?	,"?"	,
02071429	,"其他冻鸡杂碎"	,2022	,09	,"千克"	,?	,"?"	,
02072400	,"整只火鸡，鲜或冷的"	,2022	,09	,"千克"	,?	,"?"	,
02072500	,"整只火鸡，冻的"	,2022	,09	,"千克"	,?	,"?"	,
02072600	,"火鸡块及杂碎，鲜或冷的"	,2022	,09	,"千克"	,?	,"?"	,
02072700	,"火鸡块及杂碎，冻的"	,2022	,09	,"千克"	,?	,"?"	,
02074100	,"鲜或冷的整只鸭"	,2022	,09	,"千克"	,?	,"?"	,
02074200	,"整只冻鸭"	,2022	,09	,"千克"	,?	,"?"	,
02074300	,"鲜或冷的鸭肥肝"	,2022	,09	,"千克"	,?	,"?"	,
02074400	,"鲜或冷的鸭块及杂碎"	,2022	,09	,"千克"	,?	,"?"	,
02074500	,"冻的鸭块及杂碎"	,2022	,09	,"千克"	,?	,"?"	,
02075100	,"鲜或冷的整只鹅"	,2022	,09	,"千克"	,?	,"?"	,
02075200	,"整只冻鹅"	,2022	,09	,"千克"	,?	,"?"	,
02075300	,"鲜或冷的鹅肥肝"	,2022	,09	,"千克"	,?	,"?"	,
02075400	,"鲜或冷的鹅块及杂碎"	,2022	,09	,"千克"	,?	,"?"	,
02075500	,"冻的鹅块及杂碎"	,2022	,09	,"千克"	,?	,"?"	,
02076000	,"鲜、冷、冻的珍珠鸡及杂碎"	,2022	,09	,"千克"	,?	,"?"	,
02081010	,"鲜或冷的兔肉，不包括兔头"	,2022	,09	,"千克"	,?	,"?"	,
02081020	,"冻兔肉，不包括兔头"	,2022	,09	,"千克"	,?	,"?"	,
02081090	,"鲜、冷、冻野兔肉；兔及野兔的食用杂碎"	,2022	,09	,"千克"	,?	,"?"	,
02083000	,"鲜、冷、冻灵长目动物肉及食用杂碎"	,2022	,09	,"千克"	,?	,"?"	,
02084000	,"鲜、冷、冻的鲸、海豚及鼠海豚的、海牛及儒艮的以及海豹、海狮及海象的肉及食用杂碎"	,2022	,09	,"千克"	,?	,"?"	,
02085000	,"鲜、冷、冻的爬行动物（包括蛇及龟鳖）的肉及食用杂碎"	,2022	,09	,"千克"	,?	,"?"	,
02086000	,"鲜、冷、冻的骆驼及其他骆驼科动物的肉及食用杂碎"	,2022	,09	,"千克"	,?	,"?"	,
02089010	,"鲜、冷、冻的乳鸽肉及食用杂碎"	,2022	,09	,"千克"	,?	,"?"	,
02089090	,"其他鲜、冷、冻的肉及食用杂碎"	,2022	,09	,"千克"	,?	,"?"	,
02091000	,"未炼制或用其他方法提取的不带瘦肉的肥猪肉、猪脂肪，鲜、冷、冻、干、熏、盐腌或盐渍的"	,2022	,09	,"千克"	,?	,"?"	,
02099000	,"未炼制或用其他方法提取的不带瘦肉的家禽脂肪,鲜、冷、冻、干、熏、盐腌或盐渍的"	,2022	,09	,"千克"	,?	,"?"	,
02101110	,"干、熏、盐腌或盐渍带骨猪腿"	,2022	,09	,"千克"	,?	,"?"	,
02101190	,"干、熏、盐腌或盐渍其他带骨猪肉块"	,2022	,09	,"千克"	,?	,"?"	,
02101200	,"干、熏、盐腌或盐渍猪腹肉（五花肉）"	,2022	,09	,"千克"	,?	,"?"	,
02101900	,"其他干、熏、盐腌或盐渍猪肉"	,2022	,09	,"千克"	,?	,"?"	,
02102000	,"干、熏、盐腌或盐渍牛肉"	,2022	,09	,"千克"	,?	,"?"	,
02109100	,"干、熏、盐腌或盐渍灵长目动物肉及食用杂碎，包括可供食用的肉或杂碎的细粉、粗粉"	,2022	,09	,"千克"	,?	,"?"	,
02109200	,"干、熏、盐腌或盐渍的鲸、海豚及鼠海豚的、海牛及儒艮的、海豹、海狮及海象的肉及食用杂碎（包括细粉、粗粉）"	,2022	,09	,"千克"	,?	,"?"	,
02109300	,"干、熏、盐腌或盐渍的爬行动物（包括蛇及龟鳖）的肉及食用杂碎，包括可供食用的肉或杂碎的细粉、粗粉"	,2022	,09	,"千克"	,?	,"?"	,
02109900	,"其他干、熏、盐腌或盐渍肉及食用杂碎，包括可供食用的肉或杂碎的细粉、粗粉"	,2022	,09	,"千克"	,?	,"?"	,
03011100	,"淡水观赏鱼"	,2022	,09	,"千克"	,?	,"?"	,
03011900	,"其他观赏鱼"	,2022	,09	,"千克"	,?	,"?"	,
03019110	,"鳟鱼苗"	,2022	,09	,"千克"	,?	,"?"	,
03019190	,"其他活鳟鱼，鱼苗除外"	,2022	,09	,"千克"	,?	,"?"	,
03019210	,"鳗鱼苗"	,2022	,09	,"千克"	,?	,"?"	,
03019290	,"其他活鳗鱼，鱼苗除外"	,2022	,09	,"千克"	,?	,"?"	,
03019310	,"鲤科鱼苗"	,2022	,09	,"千克"	,?	,"?"	,
03019390	,"其他活鲤科鱼, 鱼苗除外"	,2022	,09	,"千克"	,?	,"?"	,
03019410	,"大西洋及太平洋蓝鳍金枪鱼鱼苗"	,2022	,09	,"千克"	,?	,"?"	,
03019491	,"其他活大西洋蓝鳍金枪鱼,鱼苗除外"	,2022	,09	,"千克"	,?	,"?"	,
03019492	,"其他活太平洋蓝鳍金枪鱼,鱼苗除外"	,2022	,09	,"千克"	,?	,"?"	,
03019510	,"南方蓝鳍金枪鱼苗"	,2022	,09	,"千克"	,?	,"?"	,
03019590	,"其他活南方蓝鳍金枪鱼，鱼苗除外"	,2022	,09	,"千克"	,?	,"?"	,
03019911	,"鲈鱼苗"	,2022	,09	,"千克"	,?	,"?"	,
03019912	,"鲟鱼苗"	,2022	,09	,"千克"	,?	,"?"	,
03019919	,"其他鱼苗"	,2022	,09	,"千克"	,?	,"?"	,
03019991	,"活罗非鱼"	,2022	,09	,"千克"	,?	,"?"	,
03019992	,"活?"	,2022	,09	,"千克"	,?	,"?"	,
03019993	,"其他活鲤科鱼"	,2022	,09	,"千克"	,?	,"?"	,
03019999	,"其他活鱼"	,2022	,09	,"千克"	,?	,"?"	,
03021100	,"鲜或冷的鳟鱼"	,2022	,09	,"千克"	,?	,"?"	,
03021300	,"鲜或冷的大麻哈鱼"	,2022	,09	,"千克"	,?	,"?"	,
03021410	,"鲜或冷的大西洋鲑鱼"	,2022	,09	,"千克"	,?	,"?"	,
03021420	,"鲜或冷的多瑙哲罗鱼"	,2022	,09	,"千克"	,?	,"?"	,
03021900	,"其他鲜或冷的鲑科鱼"	,2022	,09	,"千克"	,?	,"?"	,
03022100	,"鲜或冷的庸鲽鱼"	,2022	,09	,"千克"	,?	,"?"	,
03022200	,"鲜或冷的鲽鱼"	,2022	,09	,"千克"	,?	,"?"	,
03022300	,"鲜或冷的鳎鱼"	,2022	,09	,"千克"	,?	,"?"	,
03022400	,"鲜或冷的大菱鲆"	,2022	,09	,"千克"	,?	,"?"	,
03022900	,"其他鲜或冷的比目鱼"	,2022	,09	,"千克"	,?	,"?"	,
03023100	,"鲜或冷的长鳍金枪鱼"	,2022	,09	,"千克"	,?	,"?"	,
03023200	,"鲜或冷的黄鳍金枪鱼"	,2022	,09	,"千克"	,?	,"?"	,
03023300	,"鲜或冷鲣"	,2022	,09	,"千克"	,?	,"?"	,
03023400	,"鲜或冷的大眼金枪鱼"	,2022	,09	,"千克"	,?	,"?"	,
03023510	,"鲜或冷的大西洋蓝鳍金枪鱼"	,2022	,09	,"千克"	,?	,"?"	,
03023520	,"鲜或冷的太平洋蓝鳍金枪鱼"	,2022	,09	,"千克"	,?	,"?"	,
03023600	,"鲜或冷的南方蓝鳍金枪鱼"	,2022	,09	,"千克"	,?	,"?"	,
03023900	,"其他鲜或冷的金枪鱼"	,2022	,09	,"千克"	,?	,"?"	,
03024100	,"鲜或冷的鲱鱼"	,2022	,09	,"千克"	,?	,"?"	,
03024200	,"鲜或冷的?鱼"	,2022	,09	,"千克"	,?	,"?"	,
03024300	,"鲜或冷的沙丁鱼、小沙丁鱼属、黍鲱或西鲱"	,2022	,09	,"千克"	,?	,"?"	,
03024400	,"鲜或冷的鲭鱼"	,2022	,09	,"千克"	,?	,"?"	,
03024500	,"鲜或冷的对称竹荚鱼、新西兰竹荚鱼及竹荚鱼"	,2022	,09	,"千克"	,?	,"?"	,
03024600	,"鲜或冷的军曹鱼"	,2022	,09	,"千克"	,?	,"?"	,
03024700	,"鲜或冷的剑鱼"	,2022	,09	,"千克"	,?	,"?"	,
03024910	,"鲜、冷银鲳(鲳属)"	,2022	,09	,"千克"	,?	,"?"	,
03024990	,"鲜、冷印度鲭(羽鳃鲐属)、马鲛鱼(马鲛属)、?鱼(?属）、秋刀鱼、圆?(圆?属）、多春鱼(毛鳞鱼）、鲔鱼、狐鲣(狐鲣属）、枪鱼 、旗鱼、四鳍旗鱼(旗鱼科）"	,2022	,09	,"千克"	,?	,"?"	,
03025100	,"鲜或冷的鳕鱼"	,2022	,09	,"千克"	,?	,"?"	,
03025200	,"鲜或冷的黑线鳕鱼"	,2022	,09	,"千克"	,?	,"?"	,
03025300	,"鲜或冷的绿青鳕鱼"	,2022	,09	,"千克"	,?	,"?"	,
03025400	,"鲜或冷的狗鳕鱼"	,2022	,09	,"千克"	,?	,"?"	,
03025500	,"鲜或冷阿拉斯加狭鳕鱼"	,2022	,09	,"千克"	,?	,"?"	,
03025600	,"鲜或冷的蓝鳕鱼"	,2022	,09	,"千克"	,?	,"?"	,
03025900	,"其他鲜或冷的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼"	,2022	,09	,"千克"	,?	,"?"	,
03027100	,"鲜或冷的罗非鱼"	,2022	,09	,"千克"	,?	,"?"	,
03027200	,"鲜或冷的鲶鱼"	,2022	,09	,"千克"	,?	,"?"	,
03027300	,"鲜或冷的鲤科鱼"	,2022	,09	,"千克"	,?	,"?"	,
03027400	,"鲜或冷的鳗鱼"	,2022	,09	,"千克"	,?	,"?"	,
03027900	,"鲜或冷的尼罗河鲈鱼及黑鱼"	,2022	,09	,"千克"	,?	,"?"	,
03028100	,"鲜或冷的角鲨及其他鲨鱼"	,2022	,09	,"千克"	,?	,"?"	,
03028200	,"鲜或冷的?鱼及鳐鱼"	,2022	,09	,"千克"	,?	,"?"	,
03028300	,"鲜或冷的南极犬牙鱼"	,2022	,09	,"千克"	,?	,"?"	,
03028400	,"鲜或冷的尖吻鲈鱼"	,2022	,09	,"千克"	,?	,"?"	,
03028500	,"鲜或冷的菱羊鲷"	,2022	,09	,"千克"	,?	,"?"	,
03028910	,"鲜或冷的带鱼"	,2022	,09	,"千克"	,?	,"?"	,
03028920	,"鲜或冷的黄鱼"	,2022	,09	,"千克"	,?	,"?"	,
03028930	,"鲜或冷的鲳鱼(银鲳除外)"	,2022	,09	,"千克"	,?	,"?"	,
03028940	,"鲜或冷的?"	,2022	,09	,"千克"	,?	,"?"	,
03028990	,"其他鲜或冷的鱼"	,2022	,09	,"千克"	,?	,"?"	,
03029100	,"鲜或冷的鱼肝、鱼卵及鱼精"	,2022	,09	,"千克"	,?	,"?"	,
03029200	,"鲜或冷的鲨鱼翅"	,2022	,09	,"千克"	,?	,"?"	,
03029900	,"其他鲜或冷的可食用鱼杂碎"	,2022	,09	,"千克"	,?	,"?"	,
03031100	,"冻红大麻哈鱼"	,2022	,09	,"千克"	,?	,"?"	,
03031200	,"其他冻大麻哈鱼"	,2022	,09	,"千克"	,?	,"?"	,
03031310	,"冻大西洋鲑鱼"	,2022	,09	,"千克"	,?	,"?"	,
03031320	,"冻多瑙哲罗鱼"	,2022	,09	,"千克"	,?	,"?"	,
03031400	,"冻鳟鱼"	,2022	,09	,"千克"	,?	,"?"	,
03031900	,"其他冻鲑科鱼"	,2022	,09	,"千克"	,?	,"?"	,
03032300	,"冻罗非鱼"	,2022	,09	,"千克"	,?	,"?"	,
03032400	,"冻鲶鱼"	,2022	,09	,"千克"	,?	,"?"	,
03032500	,"冻鲤科鱼"	,2022	,09	,"千克"	,?	,"?"	,
03032600	,"冻鳗鱼"	,2022	,09	,"千克"	,?	,"?"	,
03032900	,"冻尼罗河鲈鱼及黑鱼"	,2022	,09	,"千克"	,?	,"?"	,
03033110	,"冻马舌鲽(格陵兰庸鲽鱼)"	,2022	,09	,"千克"	,?	,"?"	,
03033190	,"其他冻庸鲽鱼"	,2022	,09	,"千克"	,?	,"?"	,
03033200	,"冻鲽鱼"	,2022	,09	,"千克"	,?	,"?"	,
03033300	,"冻鳎鱼"	,2022	,09	,"千克"	,?	,"?"	,
03033400	,"冻大菱鲆"	,2022	,09	,"千克"	,?	,"?"	,
03033900	,"其他冻比目鱼"	,2022	,09	,"千克"	,?	,"?"	,
03034100	,"冻长鳍金枪鱼"	,2022	,09	,"千克"	,?	,"?"	,
03034200	,"冻黄鳍金枪鱼"	,2022	,09	,"千克"	,?	,"?"	,
03034300	,"冻鲣"	,2022	,09	,"千克"	,?	,"?"	,
03034400	,"冻大眼金枪鱼"	,2022	,09	,"千克"	,?	,"?"	,
03034510	,"冻大西洋蓝鳍金枪鱼"	,2022	,09	,"千克"	,?	,"?"	,
03034520	,"冻太平洋蓝鳍金枪鱼"	,2022	,09	,"千克"	,?	,"?"	,
03034600	,"冻南方蓝鳍金枪鱼"	,2022	,09	,"千克"	,?	,"?"	,
03034900	,"其他冻金枪鱼"	,2022	,09	,"千克"	,?	,"?"	,
03035100	,"冻鲱鱼"	,2022	,09	,"千克"	,?	,"?"	,
03035300	,"冻的沙丁鱼、小沙丁鱼属、黍鲱或西鲱"	,2022	,09	,"千克"	,?	,"?"	,
03035400	,"冻鲭鱼"	,2022	,09	,"千克"	,?	,"?"	,
03035500	,"冻的对称竹荚鱼、新西兰竹荚鱼及竹荚鱼"	,2022	,09	,"千克"	,?	,"?"	,
03035600	,"冻军曹鱼"	,2022	,09	,"千克"	,?	,"?"	,
03035700	,"冻剑鱼"	,2022	,09	,"千克"	,?	,"?"	,
03035910	,"冻银鲳(鲳属)"	,2022	,09	,"千克"	,?	,"?"	,
03035990	,"冻?鱼(?属）、冻印度鲭(羽鳃鲐属)、冻马鲛鱼(马鲛属)、冻?鱼(?属）、冻秋刀鱼、冻圆?(圆?属)、冻多春鱼(毛鳞鱼）、冻鲔鱼、冻狐鲣(狐鲣属）、冻枪鱼 、冻旗鱼、冻四鳍旗鱼(旗鱼科）"	,2022	,09	,"千克"	,?	,"?"	,
03036300	,"冻鳕鱼"	,2022	,09	,"千克"	,?	,"?"	,
03036400	,"冻黑线鳕鱼"	,2022	,09	,"千克"	,?	,"?"	,
03036500	,"冻绿青鳕鱼"	,2022	,09	,"千克"	,?	,"?"	,
03036600	,"冻狗鳕鱼"	,2022	,09	,"千克"	,?	,"?"	,
03036700	,"冻阿拉斯加狭鳕鱼"	,2022	,09	,"千克"	,?	,"?"	,
03036800	,"冻蓝鳕鱼"	,2022	,09	,"千克"	,?	,"?"	,
03036900	,"其他冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼"	,2022	,09	,"千克"	,?	,"?"	,
03038100	,"冻角鲨及其他鲨鱼"	,2022	,09	,"千克"	,?	,"?"	,
03038200	,"冻?鱼及鳐鱼"	,2022	,09	,"千克"	,?	,"?"	,
03038300	,"冻南极犬牙鱼"	,2022	,09	,"千克"	,?	,"?"	,
03038400	,"冻尖吻鲈鱼"	,2022	,09	,"千克"	,?	,"?"	,
03038910	,"冻带鱼"	,2022	,09	,"千克"	,?	,"?"	,
03038920	,"冻黄鱼"	,2022	,09	,"千克"	,?	,"?"	,
03038930	,"冻鲳鱼(银鲳除外)"	,2022	,09	,"千克"	,?	,"?"	,
03038990	,"未列名冻鱼"	,2022	,09	,"千克"	,?	,"?"	,
03039100	,"冻的鱼肝、鱼卵及鱼精"	,2022	,09	,"千克"	,?	,"?"	,
03039200	,"冻鲨鱼翅"	,2022	,09	,"千克"	,?	,"?"	,
03039900	,"其他冻的可食用鱼杂碎"	,2022	,09	,"千克"	,?	,"?"	,
03043100	,"鲜或冷的罗非鱼鱼片"	,2022	,09	,"千克"	,?	,"?"	,
03043200	,"鲜或冷的鲶鱼鱼片"	,2022	,09	,"千克"	,?	,"?"	,
03043300	,"鲜或冷的尼罗河鲈鱼鱼片"	,2022	,09	,"千克"	,?	,"?"	,
03043900	,"鲜或冷的鲤科鱼、鳗鱼及黑鱼鱼片"	,2022	,09	,"千克"	,?	,"?"	,
03044100	,"鲜或冷的大麻哈鱼、大西洋鲑鱼及多瑙哲罗鱼鱼片"	,2022	,09	,"千克"	,?	,"?"	,
03044200	,"鲜或冷的鳟鱼鱼片"	,2022	,09	,"千克"	,?	,"?"	,
03044300	,"鲜或冷的比目鱼鱼片"	,2022	,09	,"千克"	,?	,"?"	,
03044400	,"鲜或冷的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼鱼片"	,2022	,09	,"千克"	,?	,"?"	,
03044500	,"鲜或冷的剑鱼鱼片"	,2022	,09	,"千克"	,?	,"?"	,
03044600	,"鲜或冷的南极犬牙鱼鱼片"	,2022	,09	,"千克"	,?	,"?"	,
03044700	,"鲜或冷的角鲨及其他鲨鱼鱼片"	,2022	,09	,"千克"	,?	,"?"	,
03044800	,"鲜或冷的?鱼及鳐鱼鱼片"	,2022	,09	,"千克"	,?	,"?"	,
03044900	,"其他鲜或冷的鱼片"	,2022	,09	,"千克"	,?	,"?"	,
03045100	,"鲜或冷的罗非鱼、鲶鱼、鳗鱼尼罗河鲈鱼及黑鱼鱼肉"	,2022	,09	,"千克"	,?	,"?"	,
